,y_name,orf_name
6557,YPR097W,YPR097W
6558,YPR098C,YPR098C
6559,YPR099C,YPR099C
6560,YPR100W,MRPL51
6561,YPR101W,SNT309
6562,YPR102C,RPL11A
6563,YPR103W,PRE2
6564,YPR104C,FHL1
6565,YPR105C,COG4
6566,YPR106W,ISR1
6567,YPR107C,YTH1
6568,YPR108W,RPN7
6569,YPR108W-A,YPR108W-A
6570,YPR109W,YPR109W
6571,YPR110C,RPC40
6572,YPR111W,DBF20
6573,YPR112C,MRD1
6574,YPR113W,PIS1
6575,YPR114W,YPR114W
6576,YPR115W,RGC1
6577,YPR116W,RRG8
6578,YPR117W,YPR117W
6579,YPR118W,MRI1
6580,YPR119W,CLB2
6581,YPR120C,CLB5
6582,YPR121W,THI22
6583,YPR122W,AXL1
6584,YPR123C,YPR123C
6585,YPR124W,CTR1
6586,YPR125W,YLH47
6587,YPR126C,YPR126C
6588,YPR127W,YPR127W
6589,YPR128C,ANT1
6590,YPR129W,SCD6
6591,YPR130C,YPR130C
6592,YPR131C,NAT3
6593,YPR132W,RPS23B
6594,YPR133C,SPN1
6595,YPR133W-A,TOM5
6596,YPR134W,MSS18
6597,YPR135W,CTF4
6598,YPR136C,YPR136C
6599,YPR137C-A,YPR137C-A
6600,YPR137C-B,YPR137C-B
6601,YPR137W,RRP9
6602,YPR138C,MEP3
6603,YPR139C,LOA1
6604,YPR140W,TAZ1
6605,YPR141C,KAR3
6606,YPR142C,YPR142C
6607,YPR143W,RRP15
6608,YPR144C,NOC4
6609,YPR145C-A,YPR145C-A
6610,YPR145W,ASN1
6611,YPR146C,YPR146C
6612,YPR147C,YPR147C
6613,YPR148C,YPR148C
6614,YPR149W,NCE102
6615,YPR150W,YPR150W
6616,YPR151C,SUE1
6617,YPR152C,URN1
6618,YPR153W,YPR153W
6619,YPR154W,PIN3
6620,YPR155C,NCA2
6621,YPR156C,TPO3
6622,YPR157W,TDA6
6623,YPR158C-C,YPR158C-C
6624,YPR158C-D,YPR158C-D
6625,YPR158W,CUR1
6626,YPR158W-A,YPR158W-A
6627,YPR158W-B,YPR158W-B
6628,YPR159C-A,YPR159C-A
6629,YPR159W,KRE6
6630,YPR160C-A,YPR160C-A
6631,YPR160W,GPH1
6632,YPR160W-A,YPR160W-A
6633,YPR161C,SGV1
6634,YPR162C,ORC4
6635,YPR163C,TIF3
6636,YPR164W,MMS1
6637,YPR165W,RHO1
6638,YPR166C,MRP2
6639,YPR167C,MET16
6640,YPR168W,NUT2
6641,YPR169W,JIP5
6642,YPR169W-A,YPR169W-A
6643,YPR170C,YPR170C
6644,YPR170W-A,YPR170W-A
6645,YPR170W-B,YPR170W-B
